姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
胡适,通信 / 见面 / 学术,通信,99,177,177,1,5,李敖自传与回忆(177),老师、见、研究、北大、思想、爸爸、读、写信
姚从吾,师生 / 学术,师生,99,155,145,1,3,李敖自传与回忆(155),老师、研究、教授、见、北大、大学、台大、助理
陶希圣,见面 / 政治人物 / 公共论战 / 学术,见面,99,53,48,1,1,李敖自传与回忆(53),国民党、老师、见、北大、委员、文星、助理、研究
胡秋原,公共论战 / 出版 / 学术,公共论战,99,52,41,1,3,李敖自传与回忆(52),国民党、文星、杂志、委员、共产党、学术、见、攻击
黄中国,同案狱友 / 诉讼,同案狱友,99,52,36,1,1,李敖自传与回忆(52),国民党、判决、军法、见、复判、调查局、认识、看守所
小八,亲属 / 称谓待考,亲属,99,34,29,1,3,李敖自传与回忆(34),妈妈、说过、爸爸、序、见、像、院长、对我说
殷海光,师生 / 出版 / 学术 / 公共论战,师生,99,30,27,1,2,李敖自传与回忆(30),文星、主义、见、像、父亲、老师、同学、共产党
徐高阮,公共论战 / 学术,公共论战,99,28,23,1,2,李敖自传与回忆(28),研究、国民党、共产党、同学、调查局、政战、杂志、警总
吴相湘,师生 / 学术 / 见面,师生,99,27,22,1,1,李敖自传与回忆(27),老师、见、国民党、研究、史学、台大、大学、论文
严师母,称谓待考,称谓待考,99,23,23,1,1,李敖自传与回忆(23),师母、告诉我、女儿、家里、爸爸、儿子、学生、见
马占山,军事人物 / 政治人物,军事人物,99,23,23,1,1,李敖自传与回忆(23),将军、国民党、爸爸、主席、司令、见、少将、共产党
蒋介石,政治人物 / 公共论战,政治人物,99,20,20,1,4,李敖自传与回忆(20),政府、共产党、检察官、上诉、见、大学、委员、党部
严侨,师生 / 公共论战,师生,99,19,15,1,1,李敖自传与回忆(19),见、文星、国民党、父亲、主义、像、太太、投稿
萧启庆,学术 / 见面,学术,99,18,15,1,1,李敖自传与回忆(18),老师、告诉我、研究、所谓、论文、大学、台大、读
高荫祖,见面 / 政治人物 / 公共论战,见面,99,15,13,1,1,李敖自传与回忆(15),国民党、见、找我、先生、委员、警总、政治、研究
叶明勋,出版 / 媒体,出版,99,13,10,1,2,李敖自传与回忆(13),妹妹、嫁给、父亲、国民党、文星、弟弟、母亲、大舅子
敖弟,亲属 / 通信,亲属,99,12,9,1,1,李敖自传与回忆(12),爸爸、妈妈、电话、见、见到、著作、读、碰到
王世杰,政治人物 / 见面,政治人物,99,11,11,1,2,李敖自传与回忆(11),老师、见、陪我、一起、同学、部长、研究、院长
王克敏,政治人物,政治人物,99,11,10,1,2,李敖自传与回忆(11),中将、委员、爸爸、政治、学生、政府、父亲、监狱
魏廷朝,同案狱友 / 公共论战,同案狱友,99,10,5,1,3,李敖自传与回忆(10),见、同学、监狱、国民党、警察、读
黄宝实,公共论战,公共论战,99,10,9,1,1,李敖自传与回忆(10),老师、国民党、读、共产党、思想、主义、学生、爸爸
孟子,神交引用,师生,99,9,9,1,1,李敖自传与回忆(9),师生、历史上、老师、国民党
赵铁寒,学术 / 出版,学术,99,9,9,1,1,李敖自传与回忆(9),老师、教授、论文、见、回信、杂志、台大、国民党
孔子,神交引用,神交引用,99,8,8,1,2,李敖自传与回忆(8),研究、思想、师生、历史上、国民党、像、政府、大学
梁实秋,学术 / 出版,学术,99,8,8,1,2,李敖自传与回忆(8),老师、写信、研究、院长、先生、父亲、哥哥、见
李德林,姻亲,姻亲,99,7,7,1,1,李敖自传与回忆(7),太太、大学、爸爸、妹妹、儿子、嫁给、一起、国民党
罗家伦,学术 / 政治人物,学术,99,7,7,1,1,李敖自传与回忆(7),助理、北大、委员、老师、国民党、一起、见、法官
萧孟能,出版,出版,99,7,5,1,3,李敖自传与回忆(7),文星、太太、书店、朋友、哥哥、见、家里、认识
鲁迅,学术 / 神交引用,学术,99,7,7,1,2,李敖自传与回忆(7),老师、同学、同班、北大、文学、诗、请他、政治
尹女士,姻亲 / 称谓待考,姻亲,99,6,5,1,1,李敖自传与回忆(6),爸爸、妈妈、结婚、离婚、姐姐、碰到
